title,User 000,User 001,User 002,User 003,User 004,User 005,User 006,User 007,User 008,User 009,User 010,User 011,User 012,User 013,User 014,User 015,User 016,User 017,User 018,User 019,User 020,User 021,User 022,User 023,User 024,User 025,User 026,User 027,User 028,User 029,User 030,User 031,User 032,User 033,User 034,User 035,User 036,User 037,User 038,User 039,User 040,User 041,User 042,User 043,User 044,User 045,User 046,User 047,User 048,User 049,User 050,User 051,User 052,User 053,User 054,User 055,User 056,User 057,User 058,User 059,User 060,User 061,User 062,User 063,User 064,User 065,User 066,User 067,User 068,User 069,User 070,User 071,User 072,User 073,User 074,User 075,User 076,User 077,User 078,User 079,User 080,User 081,User 082,User 083,User 084,User 085,User 086,User 087,User 088,User 089,User 090,User 091,User 092,User 093,User 094,User 095,User 096,User 097,User 098,User 099
Star Wars: Episode VI - Return of the Jedi (1983),5,3.5,4.5,5,4,,3,4.5,3.5,4.5,3,4,4,2,4.5,4,4.5,4,4.5,3.5,3.5,3,4,4,4,,3.5,2.5,4.5,4.5,4.5,4.5,,4,4.5,4,5,,4.5,3,5,3,4,5,5,4.5,5,5,4.5,5,5,4,3.5,4.5,4.5,5,5,4,3,5,4.5,5,3.5,3.5,2,5,4.5,3,4,4,3,3.5,4,5,5,3,4,4,5,5,3.5,5,4,,5,4,5,5,1,4.5,2,4,5,3,4,5,,4,4,
"Lord of the Rings: The Fellowship of the Ring, The (2001)",5,4.5,5,5,5,3.5,,4,4,,3,5,4.5,,1.5,5,4,4.5,4.5,3.5,4,2,,3.5,3,,3,3,4.5,5,5,5,,,4,2,3.5,4,4.5,5,,,,,2,4.5,2,4,4,3.5,,,3.5,4.5,5,5,3.5,3.5,5,4,4.5,5,4,4,4.5,5,4.5,4.5,4,4.5,4,3.5,4,3,5,,4,4,5,5,3.5,4.5,4,4,4,3,4,,4.5,5,,4.5,,,,,,3.5,3,4.5
"Lion King, The (1994)",4.5,4,3,2.5,4.5,4,,,3,4.5,3,,,4.5,4,,4,3,3.5,3.5,5,4,3.5,3,4,3,4,,,4,,2.5,,,4,4,3.5,,4,,,,1.5,2,5,3,4,3.5,4,3,,4,5,,,5,,4.5,,3,4,4,,4,4.5,,4.5,3,3.5,3.5,5,,3.5,4.5,4,,4,4.5,,5,4,4.5,,4,,,,4,1,5,,3.5,4,3,4,,,5,3,4.5
Minority Report (2002),4.5,4,4,,4.5,5,,3,,,3,,3.5,,4.5,,4,4.5,,,4,5,4,,3.5,,3,3,5,3,3,,4,3.5,4.5,,4.5,3.5,4,3.5,,,,,4.5,4,5,3,4,3.5,,,4,4,4,4,4,4,,2.5,4.5,4,3.5,3,,3.5,3,4,3,3.5,4,3.5,4.5,2,5,,3.5,,4,4,,3,3.5,4,4,3.5,3.5,,,4,,4.5,,,,,,3.5,3,
Eternal Sunshine of the Spotless Mind (2004),,4.5,4.5,,4.5,4.5,,2.5,4.5,,5,,4.5,1.5,,,,4,,4.5,4,4,5,4,5,,,4.5,2.5,3,4,5,,4,,,4,5,4,4.5,,,,,,4,,4.5,5,3.5,,3.5,,4,4.5,,5,,,3,5,,3.5,4,4,,,3,,,,4,4,4,4.5,,3.5,4.5,5,,4,4.5,4,4.5,,2.5,4.5,,,4,4,4.5,,,,,,4.5,,
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",,5,,,5,5,,3,5,,,,4.5,3,3,5,3.5,4.5,3.5,4.5,,,,,,,,4.5,4.5,,,4,,4.5,,,,4,4.5,,,,4.5,,,4,4,,,,,4.5,3.5,4.5,4.5,,5,,,5,5,,4,5,4,5,,4,,,5,4,,,5,,4,4,4,,4,2,4,5,,,5,,1.5,,2.5,,,,,,4,,4,4
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5,,5,,4,5,4,4.5,3.5,5,4,4,,,4,,3,4.5,,5,4,3.5,4,3.5,4,,4,3.5,4,5,,4,,,4,5,4.5,4,4,3,4,5,5,5,3,4,4,4,5,3.5,5,4,,3.5,4.5,5,4.5,4,5,3.5,4,4,,4,,3,5,4,4.5,5,,,4,,5,4,3.5,,5,4,3.5,5,4,4,5,2.5,4,5,3.5,5,4,,,5,5,5,4,4.5,4,
Babe (1995),,4.5,4,,4.5,,4,,4,4.5,,,,5,,3,,2.5,4,4,,,4,,4,2,4,,,2.5,3.5,2,,3.5,4,4,,,4,,,,5,,5,2.5,4,,3,3,4,3,,,,4,,3.5,,,,,,3.5,1.5,3,,3.5,2,,4,,3.5,,5,,4,,,,,1,2.5,2,,,2.5,4,,,,3.5,,4,,4,4,,,3
Braveheart (1995),5,4,5,5,3,,1,3,4.5,,3.5,4,4,1.5,,5,3.5,4.5,3,5,4,,4,4,4.5,,4,3.5,3.5,5,4.5,2,,,,,4.5,3.5,,5,5,4,1,5,4,4.5,3,,2.5,3.5,2,,4,3.5,4.5,4,,2.5,,3.5,4,4.5,3.5,,,,4,4,4.5,4,5,2.5,3.5,4.5,5,5,,,4.5,5,,2.5,4,4.5,,3.5,4.5,4,,5,,4,4,,4,5,,,3.5,4.5
"Beautiful Mind, A (2001)",,,3,,3.5,5,,3,,,3,,4,3.5,,4,,3.5,4,4,4,4,4,,4,2.5,5,4,4.5,,4,3,5,4,4,4,4,4,,,,,0.5,,,4.5,4,4.5,4,,,3.5,4.5,4,4.5,,,,,2.5,4.5,,4,4,3,5,4,4,,,5,,,4,4,,3,3.5,,,,3.5,3.5,4,,3,4,,,,,4.5,,,,,,4,3,
Toy Story (1995),5,4,4.5,,4,4,4,2,4,5,4,4,4.5,4,3.5,3,4,3,,3,5,5,5,3,4,,3,4,,4,4,2.5,4.5,,4,4,3.5,,4,4,4,4,5,5,4,3.5,,3.5,5,4,4,4,2.5,2.5,,5,5,4,,3,4,4,4,3.5,2,,4,,2.5,4,5,,4,4.5,4,4,4,,5,4,3.5,2.5,3,,5,,3.5,3,1.5,4,,2.5,,4,5,4,4,3.5,,3.5
Seven (a.k.a. Se7en) (1995),5,4.5,3.5,5,4,4.5,,4,,3,4,5,4.5,2,,3,3,5,,4.5,4,4.5,,,4,3,4,4,,4.5,4,4,,4,4,4,4.5,5,4,5,,,4.5,,5,4.5,5,5,4,3,2,3.5,4,3,4.5,5,4,,5,4,3.5,5,4,2,4,4,3,4.5,3.5,4.5,5,,3.5,,4,4,,4,5,,2,4,4,3,4,3,4,5,4,5,3,4.5,4,3,,4,3.5,3.5,4.5,4.5
Jurassic Park (1993),5,4,2,4,4.5,4,,4,4,5,3.5,5,4,1,4,2,3,4,,5,4.5,3.5,4,3.5,3.5,,4,3.5,4,4.5,5,3,4,4,4.5,4.5,3,,4,3,4,4,2,4,2,3.5,3,4,2.5,2,4,4,4.5,2.5,,5,,4,3,4,4,4,3.5,4,,2,4,3.5,4,4.5,4,2,,4,4,3,,4,5,4,3,3.5,,3.5,3,2.5,3.5,,,4,,3,,2,5,5,3,4,3,3
Mrs. Doubtfire (1993),5,3.5,3,,2.5,,,,,,2,,,5,2.5,4,3,,2.5,4,,5,3.5,,3,,4,,,,2,4,4,,4.5,,4,,3.5,,4,,,1,,3.5,,3.5,3,3.5,3,3.5,3.5,3,,4,,4,,3,3.5,,,4,2.5,3,2.5,3,,2.5,,1,,3.5,3,,,3.5,,4,,3,3.5,3.5,4,,3,,0.5,3.5,,2,,2,3,4,2,2,2.5,3
Waterworld (1995),,,,,,,,2.5,,0.5,2.5,,,,,,,4,,3,,,3.5,,4,,4,,,,2.5,2,,,4,,,,4,4,,,,4,,3,,2.5,2,4,3,,,,,3,,,,2.5,3,2.5,2,1.5,,,,4,,2.5,2,2.5,2.5,3,2,3,,3.5,,,,4,3.5,,2,,,,,3.5,,3,,2,1,,,2,,3.5
Star Wars: Episode I - The Phantom Menace (1999),3.5,,4,,4,,1,3,3.5,3.5,4,2,,,4,1,,4,2.5,2,,2,3,3,2.5,,4,1.5,4.5,2,0.5,1,,3.5,3.5,,4,,4,3,5,4,,5,2,,2,2.5,,3,4,3,4,3.5,4.5,4,3.5,4,2,3,3,3.5,,3.5,2,2,2.5,3,3.5,4,5,3.5,3.5,3,4,3,,3,3,4,3,3,4,1,2,4,3,,0.5,3.5,2,4,3,3,3,3,,1,,
Gladiator (2000),3.5,,2,5,3,5,4,3.5,,,3.5,2,4.5,1,2.5,1,5,4,5,4.5,4,,4.5,4,3.5,3,4,3.5,,5,3.5,,4,3.5,4.5,,5,4,,3.5,,,,,5,4.5,3,4,3,4,,3.5,4.5,3.5,4.5,4,3.5,3,5,3.5,3.5,4.5,3.5,,,5,4.5,4.5,4.5,3.5,5,3,4,5,5,,3,,5,5,4,4,4,0.5,4,4,4,,2,4,4,4,3,3,4,,3.5,4.5,3,4
Spider-Man (2002),5,,4,4,4.5,,,2.5,3,4.5,4,,1,,3,3,,3.5,,4,2,3.5,,,3,4,3.5,3,,3.5,3.5,3.5,4,4,3.5,,4.5,3.5,4,4,,,4,,0.5,4,3,4,0.5,3,,,2.5,4,4,4,4.5,4,4,3.5,4.5,4.5,,3.5,3,,3,3,1.5,5,4,3,4,4,5,,3.5,,4.5,5,,4.5,3.5,3,4,3.5,3.5,,1.5,4,3,3,,,,,,3.5,,
"Lord of the Rings: The Two Towers, The (2002)",4.5,4.5,3.5,5,5,4,,4,3.5,4.5,3,,4,,2,,3.5,4.5,4,4.5,4,2,,2.5,3.5,3.5,4,3,3.5,5,5,5,,,4,2,4,4,4,5,,,4,,1.5,3.5,,4,3.5,4,,,4,4.5,5,5,4.5,3.5,,3,4.5,5,4,4,3,5,5,4.5,,4,,3.5,,4,5,,3.5,3.5,5,,3.5,4,4,4,4,3.5,4.5,,4,4.5,,4.5,,,,,,3.5,,4.5
"Mask, The (1994)",3,3.5,2,2.5,1,,,2.5,3.5,,1.5,4,,3,3,,2.5,3.5,,4,,3,,4,4,3,,,,2,2,3,,,4,,,,1,,3,,,,5,2.5,,3,4,1,3,3.5,2.5,3,,5,3.5,2.5,2,3,3,3.5,4,1,,,3,2.5,3.5,3.5,5,,1,3,4,2,3,,3.5,4,,3,4,1.5,3,,3.5,,,4,,2,,4,3,,3,3,3,
"Rock, The (1996)",4.5,,3,,4,,,,,4,3,,,,3.5,,,,,3.5,,,,,3,,3,3,4,3,3,,,4,,,,,4,,,,,4,1,,,4,,,3,4,,,,3,,4,2,3.5,3.5,4,,3.5,,4,3,4,4,3,4,,3.5,4.5,3,3,,,,4,3.5,,,3.5,3,1,,4,,4,,4,2,3,3,1,,3.5,,4
Alien (1979),4.5,4,3,,4,4,5,4,,,2,4,4,,1.5,4,,4,,5,,2.5,,5,4,3.5,4,4.5,5,4.5,5,2.5,,4,,4,,4,4.5,4,5,4,,4,2,4,2,,2.5,4,3,,4,4,,5,4,3,4,5,4,4,4.5,,,4,4.5,4,3.5,5,,3.5,3.5,,5,5,4,,4.5,,3.5,2,3.5,4,3,3.5,3.5,5,3,4.5,4,4,,4,,5,,,4,3
Willy Wonka & the Chocolate Factory (1971),4.5,4,4,,3.5,,3,,4,,4,5,,,,,,,2.5,3.5,4,5,3.5,,3.5,3,4,4,,4.5,4.5,5,4,,,,4,,,4.5,,,5,4,,,,5,3,5,3,3.5,,,,4,,4.5,3,3,3,,,4,3.5,5,3,,,3,,3.5,,,4,5,,,,4,,0.5,,3.5,4,,4,3,,,,3.5,,4,,5,,2.5,4.5,
True Lies (1994),4.5,,3,3,4,,2,,,4.5,,3,2.5,,,2,,,,2.5,,3,,,4,3,4,3,3.5,3.5,2.5,3,,4,,,,,,3.5,4,,,4,,2.5,,,,3,2,4.5,,,,5,,4,5,3,4,3.5,,3.5,,3,3,2.5,4,3.5,4,2,3.5,5,4,4,,,5,4,,3.5,4,3.5,3,,,5,,4,3,3,3,3,4,2,,3,2,3
Star Wars: Episode V - The Empire Strikes Back (1980),5,3.5,4.5,5,5,,3,4,4.5,5,3,4,4,,4.5,5,3,4,5,5,4.5,3,4.5,4.5,4.5,,3,3,4,5,5,4,,4,4.5,5,4.5,,5,4,5,5,5,5,4,4,5,5,5,5,5,4.5,3.5,4.5,4.5,5,4.5,4,4,5,4.5,5,4.5,3.5,2,5,5,3,4,4.5,4,3.5,4,5,5,5,3.5,3,5,5,4,5,4,,5,4,5,4,2.5,5,3.5,4,3,4,4,5,,4.5,4.5,
Indiana Jones and the Last Crusade (1989),5,,5,,4,4,3,4,4,5,3.5,4,,,4,4,2.5,4,,5,4,3,3.5,4.5,3.5,,3,3.5,4,4.5,4.5,4,,,4.5,4,3.5,,4,,,4,4,5,3,4,,4.5,4,3.5,5,,,4,4.5,5,4.5,4.5,4,4,5,4.5,4,3.5,,,4,4,4.5,4,,3,4,,4,3,3.5,,4.5,5,3.5,5,4,4,4,,3.5,5,,4.5,,4,,5,4,5,3.5,4.5,3.5,4
"Dark Knight, The (2008)",5,,4.5,3.5,,3,,3.5,5,5,4.5,,,,3.5,,5,,,,4,5,4.5,5,4.5,,,,,5,5,3.5,5,,2,3,5,3.5,4.5,,,,2,,,4,,,5,5,,4,4,,5,5,,4,,3.5,4,4.5,4,,3.5,5,4.5,,,,,,,,4,,4,4,4.5,,3,5,4.5,4,3.5,3.5,5,,,5,,,,,,,,5,,
American Beauty (1999),2,2.5,,4,3.5,5,5,4,,,4,4,5,1,2,4,,5,4.5,4,4,4,3.5,5,5,,4,5,,3.5,5,4.5,4.5,4,3.5,4,,5,4.5,5,5,4,,2,5,,5,4,5,4.5,,4,3.5,4.5,,,4,,4,5,4,5,4.5,,4.5,5,3,3,,,5,3.5,4,,5,5,,3.5,3.5,5,,5,4,4,4,4,3.5,,3.5,4.5,5,5,,4,5,5,4.5,5,4.5,4
Aladdin (1992),4.5,4,4,,4,,,,,5,4,,,3,4,,4,2,3.5,4,5,4,4.5,4,4,2,3,,,,4,3.5,4.5,3.5,4.5,4,3,,3,,,4,3.5,4,,3.5,,4,4,3,,3.5,,,,5,5,4,,3,4,4,,4,3.5,,4,3,2.5,3.5,5,2,,4,4,2,,,,5,,3.5,,3.5,,,4,4,,4,,3,,3,4,4,,4.5,2.5,4.5
"Terminator, The (1984)",4.5,3.5,3,4,4,,4,4,,4.5,2.5,5,,,3.5,4,,3.5,,4,,,,,4,,3,2,4,4,3.5,3,4.5,4,,4,4.5,,4,4,5,4,,5,4,4,3,4,,2.5,2,,3.5,4,,5,3,4,5,3.5,3.5,4,4,2.5,,3.5,4.5,3,,4.5,4,2.5,3.5,4,5,4,,,5,3,3.5,4,,3.5,3,4.5,,3,4,4,5,3.5,,4,4,4,,4,4,
"Silence of the Lambs, The (1991)",4.5,5,5,5,4.5,5,5,,5,,4.5,5,4,3,,3,,4.5,4,4.5,4,5,4.5,,4,3,4,4.5,,4,4,4,4,4,4,5,,4.5,5,4,5,5,,4,2,4.5,4,,,5,,3.5,4,4.5,5,5,4,3,5,3,,3.5,4.5,,3.5,5,3.5,4,,4.5,4,2.5,,,4,4,4,4,4.5,4,,3.5,4,4,5,2.5,,4,3.5,4,4,4,5,,5,,4,4.5,4,4.5
Apollo 13 (1995),3,,3,,4.5,4,,,4,5,2,,4,,,4,3.5,,3,3.5,3,4,3.5,,,2,5,2.5,5,,5,2,4.5,4,,4,4.5,,4,,4,4,3,5,5,,,4.5,3,3,,4,,,,,,,,2.5,2,,3.5,3.5,,,4.5,3,,3.5,,2,4,4,4,,3.5,,,5,,3,4,3.5,3,,4,3,,2.5,4,2,5,,3,,4,4,,3
GoldenEye (1995),4.5,,3,,,,,,,4,2.5,,,0.5,5,3,,3.5,,4,,,,4.5,4,,,3.5,4.5,,3.5,,3.5,3.5,4,,3,,,,,4,,4,1,,,4,3,,4,,,,,5,4.5,3.5,4,3.5,2,,,,,,3.5,3,3.5,3.5,2,,3.5,4,3,2,,,,,3.5,4.5,,2.5,4,,4.5,3,3,,,4,5,2,3,3,,4.5,3.5,3
E.T. the Extra-Terrestrial (1982),,4.5,5,4,4,3.5,4,,,,3,4,,5,,5,,3,,5,,3,3.5,,,0.5,4,2,3.5,4.5,,2,,4,4,4.5,4,,4.5,,5,4,5,5,3,,3,4,2.5,4,,,3,3.5,4.5,4,4,4.5,2,4,3,,3.5,4,3.5,,4.5,3.5,,3,,1,4.5,,4,4,4,3.5,4.5,5,,1.5,,4,4,,,4,1,3,2,2.5,4,5,,5,3,2.5,3.5,
Pretty Woman (1990),,3.5,3,4.5,4,,3,,,,3,,,3,4,,,,,3,,4.5,4,,,4,5,3.5,,,,,3.5,3.5,,2.5,3.5,,,,4,,,4,,,3,,,4,,4,4,4,,,3.5,3.5,,3,3,4,,4,,,3,3.5,,2.5,4,,4,4,3,,,,,3,3.5,4.5,,4,3,,5,,1.5,,3,2.5,5,3,3,4,4,,2.5,3
Austin Powers: The Spy Who Shagged Me (1999),4,4,,2,3,,4,2.5,,3.5,3.5,4,,0.5,2.5,5,3,3,1.5,4.5,,1,3,,4,0.5,0.5,4,2,,3.5,2.5,4,,4,,,,3.5,4.5,5,,,,,2.5,,4,3,3.5,,,0.5,,,3,,3,,3.5,3.5,3.5,,3,3.5,,2.5,3,4,3.5,5,2,2.5,3.5,4,2,,,,4,,3.5,3.5,1.5,4.5,2.5,4,,3.5,3,4.5,3,4,3,3,5,3,4,3,2
Memento (2000),5,4.5,4.5,4,5,4.5,5,3,5,5,4,5,4.5,,,5,3,5,,4,4.5,,,3.5,4.5,,3,4.5,5,,5,4,4.5,,,,5,3.5,4,5,,,,,,4.5,4,,3.5,5,,4,3.5,4,,5,5,,4,4.5,4,,5,4.5,4,3.5,3.5,3.5,,4.5,5,,4,4.5,5,,4.5,4,5,,3.5,4,3.5,4.5,4,3.5,4,,,5,4,4.5,,,,,4.5,5,4.5,5
"Truman Show, The (1998)",,4,4,,4.5,4.5,2,,4.5,,4,4,,1.5,,4,3,4.5,,4.5,5,3.5,3.5,,4.5,2.5,4,3,,3.5,,3.5,4.5,4.5,5,4,4.5,,4.5,4.5,,4,3.5,4,,3,4,,3.5,3.5,,4.5,,4.5,4.5,4,5,,,4,3.5,4,4.5,3.5,3.5,4,,3,,4,5,3.5,3.5,4,4,,,4.5,5,4,,4.5,4,2.5,3,1.5,3.5,,4,3.5,,4.5,3,,4,,3.5,3.5,3,2.5
Finding Nemo (2003),4,5,3.5,,4,4,,2.5,3.5,5,3,,4.5,4,,,4.5,4.5,3,3,4,4,4.5,,4,4.5,4,,,3.5,4,4,5,,4,4,4,3.5,3.5,4.5,,,,,,4,,4,,4.5,,4.5,3.5,4,,4,4.5,3.5,,,4.5,4.5,,5,3,5,3.5,4,3.5,,,2,,4,4.5,,4,,4,5,4,4.5,,4,3.5,,4,,,4,,4,,,,,4,3.5,,5
Speed (1994),5,3,3,4,4,,5,,,3.5,1,4,,3,,2,,,2.5,3.5,,3,,,3.5,3,4,2.5,,3.5,,2,3.5,4,,,3.5,,3,,,3,,3,3,2.5,,2.5,2.5,0.5,,3.5,,,,5,3,3.5,2,3,1.5,,3.5,4,,4,3,3.5,,3,4,2.5,3.5,4,4,,,3.5,5,,3,5,4,3.5,4,1.5,4,5,1,4,2,2.5,,4,2,4,,3.5,,3.5
Ace Ventura: Pet Detective (1994),,3.5,3,2,1,,,3,3.5,2,4,,3.5,2.5,,,2,,1.5,3.5,,4,,,4.5,3,,,2,,3,3,2,2.5,3.5,,,,3,,4,,,,,2.5,4,4.5,5,0.5,3,,1.5,,3,5,,2,,2.5,4,,,3,1.5,,3,3.5,3.5,3,4,0.5,,4,2,,,3.5,3,4,2,2.5,3.5,1.5,3,,4,,,3.5,,3.5,2,2,,,3,4,3.5,3.5
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),,4,5,3.5,4,3,3,4,,4.5,3.5,5,4.5,,,4,,5,,4,3,,,,4,,,4,5,3.5,3.5,4.5,4,4,,,,3.5,4.5,5,4,4,,4,5,4,5,4,3,5,,,,4,,5,4,2,4,3,5,5,2.5,3.5,3,5,3,4,,4,5,,4,4,5,5,3.5,4.5,4.5,4.5,,,3.5,3.5,2,3.5,,4,3.5,5,,3.5,,4,4,,,3.5,3.5,4
Groundhog Day (1993),,4,4.5,,3,5,5,3.5,,5,3,5,,3,3.5,4,3.5,,2.5,3,3,4,4.5,4.5,4.5,,3,4.5,4,4.5,5,4,4.5,4,,4,4,4,4,3.5,4,5,3,5,2,,4,4,3,4.5,3,4,,,4,5,4,,4,4,5,2.5,5,3.5,,,4,,,4,5,,4,4,4,5,3,4,4.5,3,4,2.5,,3.5,4,,,4,,4.5,4,3.5,5,4,5,5,5,3.5,3.5,3
Twister (1996),4.5,3.5,2,,2,,,,,4,1,,,,,,,3.5,2,2.5,,4,,,2.5,4,3,,,,2.5,2.5,,,3.5,,3,,3,,,,,,1,,,,,2,3,,,,,3,,,,2.5,,,,3.5,,,2.5,2.5,,2.5,3,,4,3,3,3,,,,,,4,,2.5,3,2.5,2,4,,3,3,3,,2,2,,,3,,3
"Princess Bride, The (1987)",3,4.5,4,,4.5,,3,3,3.5,4.5,3.5,5,,,,5,3.5,,1.5,4.5,5,5,4.5,4.5,4,,,3.5,4,5,4,5,,,,5,4,,,4,5,4,4,5,,,5,4.5,,4.5,,4.5,,,,3.5,4.5,,3,3.5,5,4.5,,4,,4.5,4.5,,,5,,,4,,5,5,3.5,,4.5,5,,5,,,,2.5,5,4,,,4,,5,5,5,5,,3.5,4,
Ghostbusters (a.k.a. Ghost Busters) (1984),,,3,,4.5,2.5,3,3,3.5,5,3,,,2,3.5,4,3.5,4,,4,,4,4,,3.5,2,4,,4.5,5,5,4.5,4.5,4,4.5,4,3,,4,3.5,,4,,,4,,2,4,5,4,4,4,,3.5,,5,3.5,4,2,4.5,3,4,,4,,4,4,2.5,,4.5,,2,3.5,,5,4,,,5,4,,2,3.5,4,5,1.5,,,,4,,3,3,4,5,5,3,4,3,
"Shawshank Redemption, The (1994)",4.5,5,5,5,5,4,,3.5,5,5,4.5,5,4.5,4,,5,4,5,4.5,5,4.5,5,4,5,4.5,3,4,4.5,,5,4,3.5,4.5,4.5,,,5,5,5,4.5,5,4,5,4,,5,5,,5,4.5,,4.5,3,3.5,4,3,4.5,5,3,4,5,5,4.5,3.5,4.5,5,4.5,5,,2,5,,4,5,5,5,,4,3,,3.5,3,,,,3.5,5,5,4,4.5,4,4.5,4,,,,4.5,5,3.5,
